RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,MAR,RELP,SCH,SCHL,SEX,WAGP,ESR,HISP,INDP,MSP,OC,OCCP10,PERNP,PINCP,RAC1P,RC
P,2.01E+12,1,1401,-9,22,1094136,19,62,3,0,1,16,2,10000,1,1,8680,4,0,4020,10000,17000,1,0
P,2.01E+12,2,1401,-9,22,1094136,30,39,3,2,1,16,1,60000,1,1,2680,4,0,530,60000,60000,1,0
P,2.01E+12,1,1300,-9,22,1094136,22,31,5,16,1,16,1,20000,6,1,6170,6,0,6130,20000,20000,2,0
P,2.01E+12,1,1502,-9,22,1094136,15,66,3,0,1,20,2,16800,1,1,8370,4,0,4610,16800,30500,2,0
P,2.01E+12,2,1502,-9,22,1094136,33,46,3,2,1,16,1,0,1,1,5470,4,0,2630,5200,5200,2,0
P,2.01E+12,1,1401,-9,22,1094136,49,34,1,0,1,21,2,48000,1,1,9380,1,0,800,48000,48000,2,0
P,2.01E+12,2,1401,-9,22,1094136,68,33,1,1,1,19,1,30000,1,1,770,1,0,7315,30000,30000,2,0
P,2.01E+12,3,1401,-9,22,1094136,47,9,5,2,2,5,1,,,1,,,1,,,,2,1
P,2.01E+12,4,1401,-9,22,1094136,62,7,5,2,2,4,2,,,1,,,1,,,,2,1
P,2.01E+12,5,1401,-9,22,1094136,56,0,5,2,,,2,,,1,,,1,,,,2,1
P,2.01E+12,1,1402,-9,22,1094136,21,25,1,0,1,21,1,20000,1,1,7770,1,0,4250,20000,20000,1,0
P,2.01E+12,2,1402,-9,22,1094136,16,25,1,1,2,22,2,16000,1,1,8190,1,0,1650,16000,16000,1,0
P,2.01E+12,1,1502,-9,22,1094136,26,19,5,17,2,19,2,4500,1,1,9290,6,0,4600,4500,4500,1,0
P,2.01E+12,1,1300,-9,22,1094136,22,66,3,0,1,16,1,31000,1,1,6970,4,0,9140,31000,54600,2,0
P,2.01E+12,1,1600,-9,22,1094136,25,59,1,0,1,16,1,0,6,1,770,1,0,6420,0,12000,2,0
P,2.01E+12,2,1600,-9,22,1094136,17,60,1,1,1,21,2,0,6,1,7860,1,0,2310,0,39000,2,0
P,2.01E+12,1,1600,-9,22,1094136,20,27,1,0,2,21,1,60000,1,1,4490,1,0,7330,60000,60000,1,0
P,2.01E+12,2,1600,-9,22,1094136,31,28,1,1,1,19,2,0,6,1,,1,0,,0,0,1,0
P,2.01E+12,3,1600,-9,22,1094136,16,8,5,2,2,4,2,,,1,,,1,,,,1,1
P,2.01E+12,4,1600,-9,22,1094136,27,1,5,2,,,1,,,1,,,1,,,,1,1
P,2.01E+12,1,1600,-9,22,1094136,35,26,5,0,1,20,2,23000,1,1,8470,6,0,4600,23000,23000,1,0
P,2.01E+12,2,1600,-9,22,1094136,43,5,5,2,2,1,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1600,-9,22,1094136,52,40,1,0,1,19,2,0,6,1,,1,0,,0,0,1,0
P,2.01E+12,2,1600,-9,22,1094136,61,44,1,1,1,19,1,0,1,1,770,1,0,6230,54000,54000,1,0
P,2.01E+12,3,1600,-9,22,1094136,53,12,5,2,3,8,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1401,-9,22,1094136,14,32,3,0,1,16,2,19200,1,1,9470,4,0,5820,19200,19400,2,0
P,2.01E+12,2,1401,-9,22,1094136,14,11,5,2,2,8,1,,,1,,,1,,,,2,1
P,2.01E+12,3,1401,-9,22,1094136,16,2,5,2,,,2,,,1,,,1,,,,2,1
P,2.01E+12,4,1401,-9,22,1094136,26,64,3,6,1,18,1,0,6,1,,4,0,,0,2800,2,0
P,2.01E+12,1,1501,-9,22,1094136,13,57,1,0,1,16,2,30000,1,1,8090,1,0,3600,30000,30000,6,0
P,2.01E+12,2,1501,-9,22,1094136,12,64,1,1,1,19,1,0,6,1,7770,1,0,4250,0,0,6,0
P,2.01E+12,1,1501,-9,22,1094136,15,69,1,0,1,19,1,10000,1,1,770,1,0,220,10000,31400,1,0
P,2.01E+12,2,1501,-9,22,1094136,18,66,1,1,1,19,2,40000,3,1,770,1,0,5700,40000,50000,1,0
P,2.01E+12,1,1401,-9,22,1094136,13,28,5,0,1,18,2,40000,1,1,4070,6,0,5700,40000,40000,1,0
P,2.01E+12,2,1401,-9,22,1094136,11,6,5,2,2,3,1,,,1,,,1,,,,1,1
P,2.01E+12,1,1600,-9,22,1094136,13,40,4,0,1,19,2,42500,1,1,7270,5,0,5700,42500,42500,1,0
P,2.01E+12,2,1600,-9,22,1094136,15,6,5,2,3,3,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1600,-9,22,1094136,16,29,5,0,1,17,1,75000,1,1,770,6,0,9560,75000,75000,1,0
P,2.01E+12,2,1600,-9,22,1094136,11,21,5,13,1,14,2,7500,6,1,8680,6,0,4720,7500,7500,1,0
P,2.01E+12,1,1300,-9,22,1094136,11,58,5,16,1,8,1,0,6,1,,6,0,,0,0,2,0
P,2.01E+12,1,1502,-9,22,1094136,17,35,1,0,1,21,1,95000,1,1,4270,1,0,4710,95000,95000,1,0
P,2.01E+12,2,1502,-9,22,1094136,11,33,1,1,1,21,2,75000,1,1,4270,1,0,120,75000,75000,1,0
P,2.01E+12,3,1502,-9,22,1094136,19,4,5,2,3,2,2,,,1,,,1,,,,1,1
P,2.01E+12,4,1502,-9,22,1094136,19,1,5,2,,,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1600,-9,22,1094136,13,54,1,0,1,19,1,80000,1,1,2290,1,0,7700,80000,80000,1,0
P,2.01E+12,2,1600,-9,22,1094136,20,53,1,1,1,18,2,0,6,1,,1,0,,0,0,1,0
P,2.01E+12,1,1600,-9,22,1094136,15,31,5,0,1,15,1,50000,1,1,2870,6,0,8140,50000,50000,1,0
P,2.01E+12,1,1502,-9,22,1094136,19,18,5,0,1,17,2,5000,1,1,6890,6,0,5330,5000,5000,1,0
P,2.01E+12,2,1502,-9,22,1094136,28,20,5,13,1,16,1,0,6,2,,6,0,,0,0,1,0
P,2.01E+12,1,1502,-9,22,1094136,16,38,1,0,2,19,1,36000,1,1,4670,1,0,4700,36000,36000,1,0
P,2.01E+12,2,1502,-9,22,1094136,13,41,1,1,1,24,2,100000,1,1,8190,1,0,350,100000,100000,1,0
P,2.01E+12,1,1401,-9,22,1094136,37,32,5,0,2,21,1,58000,1,1,8870,6,0,7330,58000,58000,6,0
P,2.01E+12,1,1502,-9,22,1094136,14,50,5,0,1,16,2,23000,1,1,9290,6,0,4610,23000,23000,2,0
P,2.01E+12,2,1502,-9,22,1094136,23,21,5,2,1,16,2,10000,1,1,9590,6,0,5360,10000,10000,2,0
P,2.01E+12,3,1502,-9,22,1094136,18,17,5,2,2,13,2,0,6,1,,6,1,,0,0,2,1
P,2.01E+12,4,1502,-9,22,1094136,21,15,5,2,2,10,1,0,,1,,6,1,,,0,2,1
P,2.01E+12,1,1401,-9,22,1094136,12,55,1,0,1,16,1,78000,1,1,2070,1,0,1930,78000,84000,1,0
P,2.01E+12,2,1401,-9,22,1094136,15,53,1,1,1,18,2,0,6,1,,1,0,,0,0,1,0
P,2.01E+12,1,1300,-9,22,1094136,33,39,1,0,1,16,1,50000,1,1,770,1,0,6200,50000,50000,1,0
P,2.01E+12,2,1300,-9,22,1094136,44,39,1,1,1,19,2,40000,1,1,6990,1,0,4710,40000,40000,1,0
