,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23
Male,143,178,216,127,124,46,50,112,209,198,173,190,221,255,233,68,125,65,74,118,84,52,76
Female,187,199,207,102,106,51,40,118,218,189,172,217,229,262,241,102,137,64,92,149,108,95,83
